Policy,URL,Description,Source,Last updated,Learn more,Topics,Policy types,Sectors,Technologies,End uses,Country,Year,Status,Jurisdiction,country_code
Sustainable Transport - Better Infrastructure Strategy,https://www.iea.org/policies/2213-sustainable-transport-better-infrastructure-strategy,"The Danish government's long-term Sustainable Transport and Infrastructure strategy has as one of its objectives to reduce CO2 emissions from road transport, combining initiatives on green car taxes, investment in public transport, intelligent traffic systems and new roads. The elements of the plan are to be implemented over the next 10-15 years, aiming for a thorough shift towards a sustainable transport system. For road vehicles, the government will undertake a fundamental restructuring of vehicle taxation to encourage the purchase of energy-efficient cars. This will be combined with a road pricing policy to make it more expensive to drive in urban areas during rush hour, thus increasing the demand for public transport. The strategy also supports the introduction of electric vehicles by introducing a tax exemption until 2012 and subsequent tax reductions in the following years to 2015.",Undefined,5 November 2017,http://www.trm.dk/EN/Publications/2008/Sustainable+transport.aspx,Energy Efficiency,"Payments, finance and taxation|Investment in assets|Taxes, fees and charges|Payments and transfers|Tax credits and exemptions|Finance",Transport|Road transport|Passenger transport (Road)|Freight transport (Road),"Road vehicles|Commercial vehicles|Medium duty vehicles, small trucks and minibuses|Transport technologies",Undefined,Denmark,2009,In force,National,DNK
Bonus-malusFRA,https://www.iea.org/policies/6613-bonus-malusfra,"purchase incentive of 6,300€ for BEVs and 1000€ for PHEVs (bonus/malus) (calculated from gCO2/km) + scrapping of an old diesel gives 10,000€ (total du cumul avec bonus écologique) for BEV purchase and 3,500€ (total du cumul avec bonus écologique) for PHEV purchase. In 2015, the French government has spent 114 million Euros for BEV purchase subsidies and 14 million Euros on PHEV purchase subsidies.",Undefined,5 November 2017,https://www.ecologique-solidaire.gouv.fr/bonus-malus-ecologique-prime-conversion-et-bonus-velo,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Feebate|Externality taxation|GHG taxation",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,France,2008,In force,National,FRA
Car registration tax linked to CO2 emissions,https://www.iea.org/policies/1406-car-registration-tax-linked-to-co2-emissions,"Until late 2007, the passenger car registration tax was linked to the cylinder capacity of the vehicle. From 1st January 2008, Law 34/2007 on Air Quality and the Protection of Atmosphere establishes a new calculation method for the registration tax of passenger cars in Spain, linked to car CO2 emissions/fuel consumption. For this purpose, the Ministry of the Environment led an inter-ministerial working group with the participation of the Ministries of Industry, Development, Consumption and the IDAE, where the specifications of this new registration tax were studied and defined. A new rating for the vehicle registration tax will vary according to the cars CO2 emissions, with the least polluting vehicle being the least taxed. The new tax rates are as follows: - 0% on the vehicle market price for vehicles with emissions under or up to 120 gCO2/km. - 4.75% for vehicles with emissions over 120 and up to 160 gCO2/km. - 9.75% for vehicles with emissions over or equal to 160 and up to 200 gCO2/km. - 14.75% for vehicles with emissions over or equal to 200 gCO2/km. In December 2008, the new tax scheme was extended to two-wheeled vehicles such as motorcycles. The tax rates are as follows: - 0% on the vehicle market price for those with emissions under 80gCO2/km - 4.75% for vehicles with emissions over or equal to 80 and up to 100 gCO2/km - 9.75% for vehicles with emissions over or equal to 100 and up to 120 gCO2/km - 14.75% for vehicles with emissions over or equal to 120 gCO2/km, or those with over 100 horsepower (74kW).",Undefined,5 November 2017,"Law 34/2007, dated on 15th November 2007, on Air Quality and the Protection of Atmosphere",Energy Efficiency,"Regulation|Payments, finance and taxation|Payments and transfers",Transport|Road transport|Passenger transport (Road),Road vehicles|Transport technologies,Undefined,Spain,2008,In force,National,ESP
Grants for Production of Advanced Biofuels,https://www.iea.org/policies/5020-grants-for-production-of-advanced-biofuels,"Grants for Production of Advanced Biofuels, led by DOE, is a grant program to encourage the production of advanced biofuels that reduce GHGs by more than 80%. Grants are awarded for advanced biofuels with the greatest reduction (at least 80%) in life-cycle GHG emissions when compared to motor vehicle fuel life-cycle emissions during calendar year 2005.",IEA/IRENA Renewables Policies Database,9 February 2017,http://www.afdc.energy.gov/laws/8502,Renewable Energy,"Payments, finance and taxation|Funds to sub-national governments|Taxes, fees and charges|Payments and transfers|Tax credits and exemptions|Grants",Transport|Road transport|Passenger transport (Road),Road vehicles|Transport technologies,Undefined,United States,2008,Ended,National,USA
Hong Kong - Tax Incentives for Environmentally Friendly Commercial Vehicles,https://www.iea.org/policies/2110-hong-kong-tax-incentives-for-environmentally-friendly-commercial-vehicles,"As of 1 April 2008, Hong Kongs Environmental Protection Department (EPD) has implemented an incentive scheme to encourage investment in environmentally friendly commercial vehicles meeting Euro V emission standards for heavy-duty and light-duty diesel vehicles.Owners of such vehicles are offered a reduction in their First Registration Tax (FRT).Under the tax concession scheme commercial vehicles include taxis, light-, medium- and heavy-goods vehicles, public and private light buses, public and private non-franchised buses and special purposes vehicles.The rates of reduction of the FRT for different vehicle classes are as follows:100% for taxis, light buses, non-franchised buses and special purpose vehicles;50% for goods vehicles (except van-type goods vehicles up to 1.9 tonnes permitted gross vehicle weight); and30% for van-type goods vehicles up to 1.9 tonnes permitted gross vehicle weight.The waivers will range from 3.7% of the vehicles market value for taxis to 35% for vans.The tax concessions will also be subject to caps ranging from HKD 8 500 to HKD 78 000 depending on the type of vehicle.The tax reduction can be claimed by authorised vehicle dealers, parallel importers or individuals.8Vehicles will need to be sold with ""Environment-Friendly Commercial Vehicle Certificates"" in order to qualify for the tax waiver.Currently, four models of Toyota vans and three Mercedes-Benz trucks are the only vehicles to receive the certificate. Qualification under the scheme is temporary, as it will be reviewed each year and should requirements be tightened, the vehicle will have to meet the new qualifying standards for the incentive to be received.",Undefined,16 April 2021,http://www.epd.gov.hk/epd/english/environmentinhk/air/prob_solutions/environment_friendly_commercial_vehicles.html,Energy Efficiency,"Regulation|Payments, finance and taxation|Payments and transfers|Tax credits and exemptions",Transport|Road transport,"Road vehicles|Commercial vehicles|Medium duty vehicles, small trucks and minibuses|Heavy trucks|Transport technologies",Undefined,People's Republic Of China,2008,In force,State/Provincial,CHN
National Biofuel Policy: Ethanol Blending Policy (EBP),https://www.iea.org/policies/4582-national-biofuel-policy-ethanol-blending-policy-ebp,"By 2008 the Government of India announced an aggregated National Policy on biofuels, mandating the implementation of the programme of ethanol blending with petrol in various states. The implementation has had an effect on the automobile industry and was administered in phases. The implementation of India's ethanol production was mainly concentrated on sugercane production and as such a steady supply needs to be maintained. As far as 2011, this study suggests  5 per cent of the automotive industry included the ethanol and fuel blend, however, sufficient lead time would have to be given in order for engine motors to effectively process higher end blended fuels. The initiative led to a 20% blending of bio-ethanol by 2017 and was taken up by the oil market companies in twenty states and four union territories. There are three main uses of ethanol in India:  45% is used to produce potable liquor 40% is used in alcohol-based chemical industry 15% used for other purposes Bioethanol benefits from a concessional excise duty of 16%.",IEA/IRENA Renewables Policies Database,12 May 2021,http://icrier.org/pdf/Policy_Series_No_9.pdf,Renewable Energy,"Strategic plans|Regulation|Renewable / Non-fossil energy obligations|Payments, finance and taxation|Taxes, fees and charges|Performance-based policies|Payments and transfers|Tax credits and exemptions|Excise taxes|Targets, plans and framework legislation|Product taxation",Transport|Fuel processing and transformation|Biofuel production,Transport technologies,Undefined,India,2008,In force,National,IND
Plug-in Electric Drive Motor Vehicle Tax Credit,https://www.iea.org/policies/695-plug-in-electric-drive-motor-vehicle-tax-credit,"The Plug-in Electric Drive Motor Vehicle Tax Credit is for the purchase of a new qualified plug-in electric drive motor vehicle that draws propulsion using a traction battery that has at least four kilowatt hours of capacity, uses an external source of energy to recharge the battery, has a gross vehicle weight rating of up to 14,000 pounds, and meets specified emission standards. The minimum credit amount is USD 2,500, and the credit may be up to USD 7,500, based on each vehicles traction battery capacity and the gross vehicle weight rating. The credit will begin to be phased out for each manufacturer in the second quarter following the calendar quarter in which a minimum of 200,000 qualified plug-in electric drive vehicles have been sold by that manufacturer for use in the US. This tax credit applies to vehicles acquired after December 31, 2009.As of January 1, 2016, 61,279 qualifying vehicles have been sold in the U.S.",Undefined,5 November 2017,http://www.afdc.energy.gov/afdc/laws/law/US/409,Energy Efficiency,"Payments, finance and taxation|Funds to sub-national governments|Taxes, fees and charges|Payments and transfers|Tax credits and exemptions",Transport,Undefined,Undefined,United States,2008,In force,National,USA
Renewable Fuel Infrastructure Grants,https://www.iea.org/policies/4984-renewable-fuel-infrastructure-grants,"Renewable Fuel Infrastructure Grants will assist retail and wholesale motor fuel dealers with the installation, replacement, or conversion of motor fuel storage and dispensing infrastructure to be used exclusively for storing and dispensing renewable fuel blends. Grants will also be provided for the establishment of up to ten geographically-dispersed refueling infrastructure corridors to ensure adequate distribution of renewable fuel blends. Contracts will also be made to provide technical and marketing assistance to grant recipients.",IEA/IRENA Renewables Policies Database,29 August 2012,http://www.afdc.energy.gov/afdc/incentives_laws_security.html,Renewable Energy,"Information and education|Public information|Government provided advice|Payments, finance and taxation|Payments and transfers|Grants",Transport,Transport technologies,Undefined,United States,2008,Ended,National,USA
Super bonus: Vehicle scrappage scheme,https://www.iea.org/policies/1315-super-bonus-vehicle-scrappage-scheme,"A temporary measure implemented as part of Frances economic stimulus plan, the EUR 300 bonus for scrapping a vehicle over 15 years old provided under the Bonus-Malus scheme has been expanded. From December 2008 to December 2009, the EUR 300 bonus has been increased to EUR 1000 and expanded to vehicles over 10 years old. New cars purchased must still meet maximum emissions limit of 160 gCO2/km. The scheme is also expanded to light commercial vehicles, applying when a new vehicle is purchased and an old one scrapped. No CO2 emissions requirements apply to the purchase of a new light commercial vehicle.",Undefined,5 November 2017,http://www.developpement-durable.gouv.fr/article.php3?id_article=2825,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road)|Freight transport (Road),"Road vehicles|Commercial vehicles|Medium duty vehicles, small trucks and minibuses|Transport technologies",Undefined,France,2008,In force,National,FRA
VIVE Plan (Innovative Vehicle - Ecological Vehicle),https://www.iea.org/policies/494-vive-plan-innovative-vehicle-ecological-vehicle,"In August 2008 the Spanish government launched the VIVE Plan (Innovative Vehicle - Ecological Vehicle) to subsidise the purchase of vehicles emitting less CO2 and to encourage the recycling and dismantling of polluting vehicles over 10 years old. In partnership with Spains Official Credit Institute (ICO), the state financial agency, a EUR 1.2 billion credit line provides subsidised loans up to EUR 30 000. An interest-free loan up to EUR 10 000 is provided, and an interest rate of 2.5% for the remaining amount, for the purchase of a new vehicle when a vehicle over 10 years old or with over 250 000km is traded in. The new passenger car purchased cannot emit more than 120g CO2/km, or 140kg CO2/km if incorporating electronic control systems or a three-way catalyst for gasoline vehicles and EGR exhaust gas recirculation devices for diesel vehicles. The limit is 160g CO2/km for light commercial vehicles. In November, the Plan was modified to include the purchase of used cars, on the condition that they are not more than five years old, and the vehicle scrapped is at least 15 years old. As of March 2009, over 27 000 transactions had taken place under the VIVE Plan.",Undefined,5 November 2017,http://www.ico.es/web/contenidos/6/0/4467/index,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Loans / debt finance|Finance",Transport|Road transport|Passenger transport (Road)|Freight transport (Road),"Road vehicles|Commercial vehicles|Medium duty vehicles, small trucks and minibuses|Transport technologies",Undefined,Spain,2008,Ended,National,ESP
Vehicle Conversion to Alternative Fuels,https://www.iea.org/policies/4715-vehicle-conversion-to-alternative-fuels,"Since July 2008, it is possible for gasoline and diesel-powered passenger cars and light trucks to be converted to be powered on alternative fuels, such as ethanol and biofuels, provided a number of technical criteria are met. An inspection regime is put in place to monitor conversions and any conversion requires approval from Sweden’s Motor Vehicle Inspection Company. Owners of converted vehicles benefit from reduced taxes, such as the vehicle tax, and other incentives.",IEA/IRENA Renewables Policies Database,16 January 2018,http://www.regeringen.se/sb/d/2066,Renewable Energy,"Strategic plans|Payments, finance and taxation|Taxes, fees and charges|Tax credits and exemptions|Framework legislation|Monitoring|Targets, plans and framework legislation",Transport,Transport technologies,Undefined,Sweden,2008,In force,National,SWE
Biofuels Promotion Laws,https://www.iea.org/policies/4680-biofuels-promotion-laws,"In April 2006 the Argentine government passed Federal Law No. 26093, the “Biofuels Law”, enacted by its Regulatory Decree No. 109/2007 in February 2007.The Decree set forth guidelines to promote the development of biofuels. The law establishes criteria for plants to be licensed for biofuels production, including biofuel quality requirements and environmental impact assessment procedures. It also establishes criteria for beneficiaries of the benefits enacted by the law, focusing on supporting SMEs, promoting agribusiness, and enhancing regional economies.The law establishes promotional tax incentives for producers that comply with certain requirements, establishing that the majority ownership of biodiesel production facilities corresponds to farming and agricultural firms. It provides for tax breaks for investing companies, lower export taxes for biodiesel, VAT reimbursement and accelerated depreciation of assets for income tax purposes. In addition, biofuels are exempt from the Hydrocarbon and Diesel taxes (20% each).",IEA/IRENA Renewables Policies Database,1 March 2018,http://servicios.infoleg.gob.ar/infolegInternet/anexos/260000-264999/260152/norma.htm,Renewable Energy,"Payments, finance and taxation|Taxes, fees and charges|Payments and transfers|Tax credits and exemptions|Grants",Transport,Undefined,Undefined,Argentina,2007,In force,National,ARG
Bonus-Malus: vehicle CO2 bonus and penalty system,https://www.iea.org/policies/1065-bonus-malus-vehicle-co2-bonus-and-penalty-system,"Implemented in France since January 2008, this is an incentive to purchase vehicles that emit the least CO2. On purchase, a bonus is paid to people acquiring vehicles that emit less than 105g CO2/km (threshold valid on 1st January 2013). Conversely, a purchase tax (""malus"") applies to cars that emit over 135g CO2/km (idem). The bonus ceiling for electric vehicles was raised from  €5,000 to  €7,000 in 2012, up to a limit of 30% of the total cost of the vehicle including tax; that relating to hybrid vehicles has been doubled to  €4,000, up to a limit of 10% of the total cost of the vehicle including tax, with a minimum subsidy of  €2,000.New decrees and order have been published in 2014, in order to strenghen the requirements to obtain the CO2 bonus.",Undefined,5 November 2017,http://www.developpement-durable.gouv.fr/article.php3?id_article=2672&var_recherche=bonus+malus,Energy Efficiency,"Payments, finance and taxation|Feebate|Payments and transfers|Externality taxation|GHG taxation",Transport|Road transport|Passenger transport (Road),Road vehicles|Transport technologies,Undefined,France,2007,In force,National,FRA
Budget Law 2007 - Energy efficiency provisions,https://www.iea.org/policies/4631-budget-law-2007-energy-efficiency-provisions,"The Budget Law 2007 provides for various fiscal incventives and financial measures to improve energy efficiency and to abate emissions. Mesures include: -fiscal incentives for enhancing energy efficiency and use of renewable energy in buildings; -ficial grants for replacement of passenger and goods veicles with less-poluting models, as well as those using natural gas or liquefied petroleum gas; -reduction of duty for biofuels used for transport A revolving fund with a yearly budget of EUR 200 million was established to finance the following GHG emissions reductions measures (2007-09): - a high performance micro-cogeneration plant - electricity and heating production from small-scale renewable energy sources - high efficiency electric motors (more than 45 kW) - improving end-use energy efficiency in the civil sector - R&D for new technolgoies, low or zero emissions energy sources Budget 2008 confirmed the above measures, and extended the deadline of borne expenditures from December 2007 to 2010. It also widened the range of eligible measures in the building sector, by adding measures concerning the replacement of heating plants with heat pumps and geothermal low enthalpy systems. Law no. 2/2009, implementing Legislative Decree no. 185/08 ""Urgent measures to support families, work, employment and enterprise according to the strategic national framework for crises"", by article 29 of Decree no. 185/08, modifies procedure for tax rebates of 55% for energy efficiency in buildings undergoing renovations, by introducing a shorter period to apply the tax rebates for users (5 years instead of 10) and an amendment regarding the documents to be submitted.",IEA/IRENA Renewables Policies Database,20 July 2012,http://www.agenziaentrate.it/ilwwcm/connect/Nsi/,Energy Efficiency|Renewable Energy,"Regulation|Renewable / Non-fossil energy obligations|Energy efficiency / Fuel economy obligations|Payments, finance and taxation|Taxes, fees and charges|Performance-based policies|Payments and transfers|Tax credits and exemptions|Grants","Transport|Power, Heat and Utilities|Power generation|Economy-wide (Multi-sector)|Electricity and heat generation",Transport technologies,Undefined,Italy,2007,In force,National,ITA
Eco Car Subsidy,https://www.iea.org/policies/544-eco-car-subsidy,"Between 1 April 2007 and 31 December 2009, any private individual who buys a new low-emission car for private use will receive an ""eco car subsidy"" of SEK 10,000. For a car to be able to qualify for the subsidy, it must meet certain requirements. The vehicles covered are conventional fuel-efficient cars, cars that run on biofuels and electric cars meeting certain efficiency requirements. After subsidies, a small diesel car with low emissions costs about SEK 100,000, while the largest hybrid models may cost around SEK 250,000. First and foremost, it must be assigned to one of the following environmental classes: - Mk 2005 - Mk 2005 PM (cars run on diesel) - Mk EL - Mk Hybrid For conventional fuel-efficient cars, including hybrids, running on petrol, CO2 emissions may not exceed 120 grams/km during mixed driving. For those that runon diesel, they may not exceed 120 grams/km and particulate matter emissions may not exceed 5 mg/km during mixed driving. For alternative fuel cars, fuel consumption in connection with mixed driving may not exceed 0.92 litres petrol/10 km or 0.97 cubic metres of LPG/10 km (with some exceptions for automatic transmission cars). For electric cars, the consumption of electric energy per 100 km may not exceed 37 kilowatt hours; however, this type of car does not currently exist on the market. The rebate is paid automatically and directly to the purchaser once they have owned the car for six months. The programme has been considered a success, as sales of hybrid or biofuel-powered vehicles rose by 49% in 2007, according to the Swedish Environmental Protection Agency, and ""green"" vehicles made up 18% of the total number of cars sold as of January 2008. In April 2008, a further SEK 240 million were injected into the scheme, as the programmes popularity threatened to overrun the original allotment of SEK 150 million.",IEA/IRENA Renewables Policies Database,5 November 2017,http://www.transportstyrelsen.se/en/,Energy Efficiency|Renewable Energy,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road),Road vehicles|Transport technologies,Undefined,Sweden,2007,In force,National,SWE
Green Levy,https://www.iea.org/policies/3012-green-levy,"This levy ranges from CAD 1000 for vehicles with a fuelconsumption of 13.0-13.9 litres per 100 kilometres to CAD 4000 for those that consume 16 litres or moreper 100 kilometres. This levy acts as a disincentive to the purchase of vehicles with poor fuel economy andthereby indirectly favours purchases of fuel-efficient vehicles, including HEVs and PEVs.",Undefined,5 November 2017,http://www.oecd.org/officialdocuments/publicdisplaydocumentpdf/?cote=COM/TAD/ENV/JWPTE(2013)27/FINAL&docLanguage=En,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Canada,2007,In force,National,CAN
Preferential loans for energy saving measures,https://www.iea.org/policies/1806-preferential-loans-for-energy-saving-measures,"On 5 October 2006, the French Government announced the creation of a EUR 10 billion fund for the funding of domestic energy conservation projects with low-interest loans. Available from 1 January 2007, the low-interest loans are based on a previous tax-free savings account known as the CODEVI (Compte pour le Développement Industriel). This savings product allowed banks to finance the development of small- and medium-sized enterprises (SMEs).  The CODEVI as of 1 January 2007 has been renamed the LDD (Livret de Développement Durable), and banks must use a portion of these funds to offer preferential loans for domestic energy conservation projects. While the CODEVI was capped at EUR 4600 per person, the LDD cap has been raised to EUR 6000 per person to raise additional funds for these loans. As of 2009 the account pays tax-free interest of 2.5% a year. In 2008, banks must dedicate 2% of the funds to energy conservation loans, rising to 5% in 2009 and 10% thereafter.  Preferential loans can be awarded to individuals, co-properties and entrepreneurs for the purchase and installation of: energy efficient boilers; thermal insulation (walls, windows, shutters); thermal regulation equipment; equipment producing energy from renewable sources; space and water heating equipment using wood or other biomass; heat pumps. Applicants must provide the bank with documents from the equipment installer, certifying that the equipment and installation meets the required energy efficiency criteria. This financial measure is complementary to the 2005 tax credit scheme. The acquisition of domestic energy efficient equipment entitles the buyer to a price reduction (tax credit scheme) and a low-interest loan at the same time (LDD measure).",IEA/IRENA Renewables Policies Database,12 September 2019,http://www.fbf.fr/Web/internet/content_particuliers.nsf/(WebPageList)/Les+modalites+de+fonctionnement+du+Livret+de+developpement+durable+sont+precisees?Open,Energy Efficiency|Renewable Energy,"Payments, finance and taxation|Payments and transfers|Loans / debt finance|Finance","Buildings|Residential|Transport|Power, Heat and Utilities|Power generation|Economy-wide (Multi-sector)|Heating and Cooling|Electricity and heat generation","Building envelope technologies|Space, water and process heating technologies|Other heat pumps|Solar PV|Geothermal electricity|Geothermal|Solar|Thermostats|Biomass/biogas boilers (domestic)",Undefined,France,2007,In force,National,FRA
Tax Incentives for Electric Vehicles,https://www.iea.org/policies/6631-tax-incentives-for-electric-vehicles,"VAT is deductible for the purchaise of electric vehicles with a certain amount of acquisition costs depending on the type of vehicles: pure battery electric vehicles (BEV) < 62,000 EUR; plug-in hybrids vehicles (PHEV) < 50,000 EUR.   In addition, electric vehicles are exempted from the registration tax (Imposta Sobre Vehiculos or ISV): BEVs are fully exempted and PHEVs are exempted up to 75% of the tax if their all -electric range mode goes up to 25km.",Undefined,21 October 2019,https://www.eafo.eu/countries/portugal/1749/incentives,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Value added tax|Product taxation",Transport|Road transport|Freight transport (Road),"Road vehicles|Commercial vehicles|Medium duty vehicles, small trucks and minibuses|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Portugal,2007,In force,National,PRT
ecoAgriculture Biofuels Capital Initiative,https://www.iea.org/policies/4881-ecoagriculture-biofuels-capital-initiative,"The ecoABC Initiative is a federal CAD 200 million four-year programme ending on 31 March 2011, that provides repayable contributions for the construction or expansion of transportation biofuel production facilities. Funding is conditional upon agricultural producer investment in the biofuel projects, and the use of agricultural feedstock to produce the biofuel. The ecoABC Initiative is delivered nationally by Agriculture and Agri-Food Canada. It is designed to provide an opportunity for agricultural producers to diversify their economic base and participate in the biofuels industry through equity investment/ownership in biofuels production facilities. As well, ecoABC will help achieve the federal governments goal of reaching an average of 5% renewable content in gasoline by 2010, and 2% renewable content in diesel fuel and heating oil by 2012.",IEA/IRENA Renewables Policies Database,18 July 2012,www4.agr.gc.ca/AAFC-AAC/display-afficher.do?id=1195672401464&lang=eng,Renewable Energy,"Payments, finance and taxation|Payments and transfers|Loans / debt finance|Finance",Transport,Transport technologies,Undefined,Canada,2007,Ended,National,CAN
Alternative Fuel Infrastructure Tax Credit,https://www.iea.org/policies/4795-alternative-fuel-infrastructure-tax-credit,"The Alternative Fuel Infrastructure Tax Credit was established by the Energy Policy Act of 2005 and is available for the cost of installing alternative fueling equipment placed into service after 31 December 2005. Qualified alternative fuels are natural gas, liquefied petroleum gas, hydrogen, electricity, E85 or diesel fuel blends containing a minimum of 20% biodiesel. The credit amount is up to 30% of the cost, not to exceed USD 30,000, for equipment placed into service before 1 January 2009. The credit amount is up to 50% not to exceed USD 50,000, for equipment placed into service in 2009. Consumers who purchase residential fueling equipment may receive a tax credit of up to USD 1,000, which increases to USD 2,000 for equipment placed into service after 2008. The maximum credit amount for hydrogen fueling equipment placed into service after 2008 and before 2015, is USD 200,000. The credit expires in 2010 for all other eligible fuel types.",IEA/IRENA Renewables Policies Database,16 February 2017,http://www.afdc.energy.gov/laws/10513,Renewable Energy,"Payments, finance and taxation|Taxes, fees and charges",Industry|Transport,Industry sector-specific processes and technologies|Transport technologies,Undefined,United States,2006,Ended,National,USA
Energy Conservation in Government,https://www.iea.org/policies/2074-energy-conservation-in-government,"To improve the energy efficiency of government institutions during the 11th Five-Year Period, China required several reforms of government operation: - During reconstruction of government buildings - including heating, air-conditioning and lighting systems - 20 percent of the total construction area must meet the national building energy efficiency standard. - Government procurement must promote high-efficiency products and publish their list. - Government vehicle purchases must focus on low-oil-consuming vehicles. With these mandates, the Chinese state aims to save energy by 10% per unit construction area and per capita by 2010, relative to the baseline year of 2002.",Undefined,16 April 2021,http://ghs.ndrc.gov.cn/15ghgy/t20060529_70793.htm,Energy Efficiency,"Regulation|Information and education|Government provided advice|Payments, finance and taxation|Operational funding for institutions|Investment in assets|Public procurement",Buildings|Services|Transport|Road transport,Road vehicles|Transport technologies,Undefined,People's Republic Of China,2006,In force,National,CHN
Energy Grants Credit Scheme - Alternative fuels,https://www.iea.org/policies/4728-energy-grants-credit-scheme-alternative-fuels,"The energy grants credits scheme (EGCS) for alternative fuels provides a fuel grant for businesses using alternative fuels for road transport. The amount of the grant, set in 2006, reduces over five years to reach zero in 2010.Grant rates vary depending on the type of fuel. As of 1 July 2009 these were:- Biodiesel: AUD 3.702 cents per litre- Ethanol: AUD 4.162 cents per litreGrants can be claimed for the purchase or import of an alternative fuel into Australia, used in an eligible vehicle for the purpose of carrying out business, eligible travel, and incidental use or other vehicle use integral to business or travel operations.",IEA/IRENA Renewables Policies Database,24 October 2012,http://www.ato.gov.au/businesses/content.asp?doc=/content/00123071.htm&page=2&H2,Renewable Energy,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road),Road vehicles|Transport technologies,Undefined,Australia,2006,Ended,National,AUS
Residential Energy Property Credit,https://www.iea.org/policies/373-residential-energy-property-credit,"The federal tax credit for energy-efficient home improvements was established by the Energy Policy Act of 2005. Expiring December 31, 2007, the credit was extended and expanded by The Energy Improvement and Extension Act of 2008 (H.R. 1424: Div. B, Sec. 302) and The American Recovery and Reinvestment Act of 2009 (H.R. 1: Div. B, Sec. 1121). The credit now applies to eligible equipment purchased between January 1, 2009, and December 31, 2010. The credit applies to energy efficiency improvements in the building envelope of existing homes and for the purchase of high-efficiency heating, cooling and water-heating equipment. Efficiency improvements or equipment must serve a dwelling in the United States that is owned and used by the taxpayer as a primary residence. The maximum amount of homeowner credit for all improvements combined is USD1,500 for equipment purchased during the two-year period of 2009 and 2010 and the tax credit is worth up to 30% of the cost of upgrades. Eligible improvements include: building envelope improvements (windows, insulation, doors, roofs), heating, cooling, and water-heating equipment (such as air conditioners, fans).",Undefined,5 November 2017,http://www.dsireusa.org/incentives/incentive.cfm?Incentive_Code=US43F,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Payments and transfers|Tax credits and exemptions",Buildings|Residential|Industry|Transport|Existing buildings and retrofits,Appliances|Industry sector-specific processes and technologies,Undefined,United States,2006,Ended,National,USA
Tax credits for clean-fuel burning vehicles and refueling property,https://www.iea.org/policies/2184-tax-credits-for-clean-fuel-burning-vehicles-and-refueling-property,"A tax credit is available for the purchase of a new qualified PEV that draws propulsion using a traction battery that has at least five kilowatt-hours (kWh) of capacity, uses an external source of energy to recharge the battery, has a gross vehicle weight rating of up to 14,000 pounds, and meets specified emission standards. The minimum credit amount is $2,500, and the credit may be up to $7,500, based on each vehicle's traction battery capacity and the gross vehicle weight rating. The credit will begin to be phased out for each manufacturer in the second quarter following the calendar quarter in which a minimum of 200,000 qualified PEVs have been sold by that manufacturer for use in the United States. This tax credit applies to vehicles acquired after December 31, 2009.",Undefined,5 November 2017,https://afdc.energy.gov/laws/409,Energy Efficiency,"Payments, finance and taxation|Payments and transfers",Transport|Road transport,Road vehicles|Transport technologies,Undefined,United States,2006,In force,National,USA
