"","...1","Column1","Country","Country.Code","Year","Policy.Name","Policy.Description","Link","Year:.implementation","Year:.decision","Year:.end","Indicator.database.source"
"3190",5123,5123,"Luxembourg","LUX",NA,"Financial aid programme for energy savings and renewable energy in housing 2008","Since 1 January 2008, the Ministry of Environment established  a new financial incentive programme to encourage investments in high efficiency housing, energy-efficient refurbishment of existing housing, the installation of renewable energy sources and energy-efficient equipment, as well as energy performance evaluation and advice services  (required for undertaking refurbishment).For new housing  up to 200m2 for individual houses and up to 120m2 for multi-family buildings, grants are provided for the construction of low-energy consumption homes (between EUR 21 and EUR 45/m2) and passive houses (between EUR 57 and EUR160/m2). Construction must begin in 2007 and request for funding submitted before 31 December 2008.For existing housing  over 10 years old, grants are provided for the replacement of various components, such as thermal insulation of walls, floors and roofs (EUR 8-15/m2) and high efficiency windows (EUR 12-30/m2). A complete refurbishment allows for 20% increased subsidy, covering up to 75% of the investment up to a maximum amount depending on the type and size of housing. Installation of improved ventilation systems are also subsidised up to 50%. Various renewable energy sources are also subsidised:Solar thermal and solar PV  systems (30-50% of the cost up to a specific maximum amount),Geothermal heat  (40-50%), andBiomass heaters  (25-30%).Condensing boilers are also subsidised between EUR 80 and EUR 600.Micro cogeneration  fuelled by renewable energy sources is subsidised up to 25%, while connection to a heating source fuelled 75% by renewable energy sources is subsidised EUR 15/kW or EUR 50/kW (up to a maximum amount of kW) depending on the type of housing.Energy consultation for the construction of low-energy and passive houses, and for energy-efficient refurbishment, are subsidised up to EUR 50/hour. In order to download full version of the Financial aid programme (in French) please,  .","https://www.iea.org/policies/2230-financial-aid-programme-for-energy-savings-and-renewable-energy-in-housing-2008",2008,NA,NA,"IEA"
"3191",5124,5124,"United States","USA",NA,"Food, Conservation, and Energy Act of 2008","The Conservation, and Energy Act of 2008 governs the majority of Federal agriculture and related programmes for the next 5 years, including rural energy efficiency initiatives, and initiatives to encourage the production and use of agricultural and renewable energy sources. For energy efficiency and renewable energy programmes, the Act clarifies that loans can be made for energy efficiency purposes and redefines eligible renewable energy sources, including wind, hydropower, solar and geothrmal. It authorizes deferment of principal and interest payments on existing loans so that borrowers can make loans to residential, commercial, and industrial consumers to install energy-efficient measures or devices that reduce demand on electric systems for 60 months. It also allows for various loans for renewable energy generation. The 2008 Act also mandates a study on electric power generation needs of rural areas, looking at rural electric cooperatives issues, financing issues, impact of electricity costs on consumers and local economic development, and ability of fuel feedstock technology to meet regulatory requirements, such as carbon capture and sequestration.","https://www.iea.org/policies/1615-food-conservation-and-energy-act-of-2008",2008,NA,NA,"IEA"
"3192",5126,5126,"Austria","AUT",NA,"Green Electricity Act - 2008 and 2009 amendments","The Green or Eco-Electricty Act was amended in 2008, with some of the amendments taking effect or being further revised in 2009.The amendment increased the target for the share of renewable energy in electricity production, to 15% by 2015 (excluding large hydro). The target is to be met through additional installations between 2008 and 2015 of 700 MW of wind power, 700 MW of hydro power (of which 350 MW will be made up of installations with less than 20MW capacity), and 100 MW of biomass (depending on the supply situation).The feed-in tariff period was extended to 15 years for biomass and biogas, and 13 years for other technologies. Small-scale hydro power (less than 2 MW) now benefits from a different support system of investment subsidies rather than a feed-in tariff.Solar PV installations up to 5kW will be directly subsidised as part of a Climate and Energy fund programme, and a requirement for co-ficing of solar PV installations by provinces removed.The total annual funds available for purchasing green electricity through feed-in tariffs by the settlement cenre OeMAG was also increased, from EUR 17 million to EUR 21 million a year, resulting in a total of EUR 500 million made available up till 2015. The funding cap was also made flexible, with the possiblity of raising more funds if necessary.In 2009, certain amendments took effect or were modified. For example, the system of a lump sum payment received by electricity customers to OeMAG was extended to 2012, and the possibility for reimbursement of payments for green-electricity by companies was limited.","https://www.iea.org/policies/4892-green-electricity-act-2008-and-2009-amendments",2008,NA,NA,"IEA"
"3193",5127,5127,"Australia","AUS",NA,"Green Precincts Fund","The Green Precincts Fund provided AUD13.3 million over four years to support high-profile demonstration projects that delivered water and energy savings while educating the community about water and energy efficiency. The demonstration projects include those that deliver substantial reductions in greenhouse gas emissions through energy efficiency measures, such as solar power generation, solar hot water services, smart metering, energy efficient appliances and lighting, wind generation and functional green building design. The program was completed in June 2012.","https://www.iea.org/policies/358-green-precincts-fund",2008,NA,NA,"IEA"
"3194",5128,5128,"Italy","ITA",NA,"Industry 2015: Industrial Innovation and Sustainable Mobility Projects","In its 2007 fiscal budget, the Italian government planned for the Industry 2015 programme, which comprised two new funding mechanisms and a call for projects to promote innovation in Italian industry. Selected projects, involving a variety of private sector enterprises of various sizes as well as research institutions, would receive co-financing from the government.Two of the project streams target sustainable mobility and industrial energy efficiency and use of renewable energy, and were launched in 2008. In December 2008, 26 selected Sustainable Mobility projects received a total of EUR 180 million, generating a total investment of EUR 450 million. Nearly a third involved the development of ecological, efficient and economic road vehicles or production processes.In January 2009, the Industrial Energy Efficiency stream selected 30 projects mobilizing an investment of EUR 500 million in research and development targeting both efficiency and the use of renewable energy technologies. Approximately 65% of the investment funding (and 56% of company proposals) targeted bioenergy, energy production from waste and solar photovoltaics. The remaining 35% of investments targeted high-efficiency building materials, improved efficiency in end-use systems and sub-systems, as well as wind energy. Another 7 projects in the areas of bioenergy and production of energy from waste, efficient appliances, and technologies for increasing energy efficiency of industrial processes received funding.Published in the OJ 155 of 6 July 2010 (Ordinary Supplement n.147) the Decree of 26 May 2010, bearing the list of eligible projects for granting ""Energy Efficiency"" funds.","https://www.iea.org/policies/416-industry-2015-industrial-innovation-and-sustainable-mobility-projects",2008,NA,NA,"IEA"
"3195",5131,5131,"Ireland","IRL",NA,"Ireland Accelerated Capital Allowance Scheme (ACA)","The accelerated capital allowance scheme (ACA) under Section 46 of the Finance Act 2008 provides that companies may claim 100% of the capital cost of certain renewable energy plant and machinery (listed on the Triple E register) against corporation tax in year of purchase.","https://www.iea.org/policies/6532-ireland-accelerated-capital-allowance-scheme-aca",2008,NA,NA,"IEA"
"3196",5135,5135,"Finland","FIN",NA,"Long-term Climate and Energy Strategy","Approximately 80% of the greenhouse gas emissions causing global warming originate in energy production and consumption, including transport. Therefore, climate and energy policy have become closely entwined in the past few years. The Finnish Government has submitted a report to Parliament on climate and energy policy in 2001 and 2005. Since the latest report, international and EU climate and energy political objectives and obligations have changed to such an extent that, in 2007, a policy position was set down in the Government Programme of Prime Minister Vanhanens second Cabinet, stating that the Government would draw up a long-term climate and energy strategy at the beginning of its current term, to define the principal objectives and means of Finlands climate and energy policy for the next few decades, within the context of the European Union and its objectives. It was decided that the Strategy would be submitted to Parliament in the form of a report. The report was prepared under the steering of the Governments Ministerial Working Group on Climate and Energy Policy. The preparatory body for the Ministerial Working Group has been the Climate and Energy Policy Network, comprising representatives of several ministries, including the Ministry of Employment and the Economy, Ministry of Transport and Communications, Ministry of Agriculture and Forestry, Ministry of Education, Ministry for Foreign Affairs, the Prime Ministers Office, the Ministry of Finance, and the Ministry of the Environment. The report consists of an outline and strategy texts, including background information, and four appendices. On the other hand, the strategy proper describes the changes that have taken place in the international operating environment, and presents the Governments outlines for energy and climate policy in the forthcoming years, alongside proposals for key measures for the attainment of the EUs objectives regarding the promotion of renewable energy, the enhancement of efficiency in energy consumption, and decreasing greenhouse gas emissions. The strategy sets targets for final energy consumption and electricity consumption in 2020, aiming to keep them relatively stable as compared to current (2008) levels. Final energy consumption is to reach 310 TWh (almost equal to the current level) and electricity consumption is to reach 98 TWh (slightly higher than the 2008 level of just under 90 TWh). The strategy presents two scenarios: the baseline in compliance with current measures and development, and the objective, meeting the EUs and national objectives. According to the scenarios, for 2020, electricity consumption would, at the baseline, be 103 TWh (terawatt-hours), primary energy consumption 479 TWh, final energy consumption 347 TWh and greenhouse gas emissions 89 Mt CO2-eqv. (million equivalent carbon dioxide tonnes) and corresponding emissions outside the emission trading sector, 36 Mt CO2-eqv. According to the objective, in 2020, electricity consumption will equal 98 TWh, primary energy consumption 430 TWh, final energy consumption 310 TWh and emissions outside the emission trading sector 30 Mt CO2-eqv. Emissions within industries included in emission trading are specified in accordance with EU-wide emission trading, which is under modification. The strategy aims for a marked increase in the share of indigenously generated energy, as well as improved energy efficiency and increased use of renewable energy. The share of renewable energy is targeted to increase to 38% of total final energy consumption. This will require an increase in the use of wood-based energy, waste fuels, heat pumps, biogas and wind energy. The use of forest chips is to be increased by two or three times over current levels, and by 2020, some 6TWh of wind energy to be harnessed for use, which would entail the construction of a minimum of 700 new 3 MW wind power plants. In addition, the share of coal and oil in Finlands energy balance is to decrease and energy divers","https://www.iea.org/policies/4739-long-term-climate-and-energy-strategy",2008,NA,NA,"IEA"
"3197",5137,5137,"Ireland","IRL",NA,"Low Carbon Homes Programme","The Low Carbon Housing Programme is the successor to Sustainable Energy Irelands (SEI) House of Tomorrow Programme. It aims to support the development of new low-carbon and energy efficient housing through providing capital grants to developers. The programme invites proposals for housing developments incorporating design and technology features that lead to a reduction in CO2 emissions from energy use in a typical new home by at least 70% relative to a reference dwelling built to baseline Building Regulations 2005 standards. The developments covered by the programme will combine heat and electricity demand reduction, efficient low-carbon heat supply, and efficient low-carbon electricity auto-generation. The minimum requirements are that development proposals reach the following targets: - A building energy rating (BER) of A2 or better; - Achieve an energy performance coefficient (EPC) less than 0.25 (below the current Building Regulations figure of 0.6); - Achieve a carbon dioxide performance coefficient (CPC) less than 0.30 (below the current Building Regulations figure of 0.69); - Generate electricity onsite (for supply or export) per unit to the equivalent of 10 kWh/m2 per year or greater (primary energy). Specific requirements include 14 different aspects: 1) Onsite electrical generation: Microgeneration technologies and large-scale solutions are both supported, both renewable and CHP. Use of smart meters is also important. 2) Passive design strategy: To minimise energy demand, particularly through passive heating, ventilation and daylighting design and technology features. 3) Site layout and house design: Should reduce site exposure using natural shelter and landscaping and to maximise solar gain. 4 & 5) Ventilation and structural sealing: To minimise heat loss and ensure good air quality. 6) Insulation of the building envelope: U-value specifications must exceed those of the 2007 Building Regulations. Indicative acceptable reference values in W/m2K are provided as follows: Doors less than or equal to 2.2; Windows less than or equal to1.8; Walls less than or equal to 0.22; Floors less than or equal to 0.20; Roofs less than or equal to 0.13. 7) Thermal bridging: To avoid excessive heat loss and local condensation. 8 & 9) Lighting and appliances: Incorporation of low-energy light fittings; all appliances provided by the developer must meet the highest energy efficiency rating for that product type (A+). 10) Principal auxiliary heating systems: Using central heating condensing oil, gas boilers (must be high efficiency, can incorporate solar panels) or wood pellet boilers, solar space heating, heat pump, group or community heating system. 11) Secondary heating systems: Must present standard of efficiency higher than prevailing practice. 12) Building materials: Must be sustainable, for example CFC and HCFC free, include recycled content, low toxicity or low embodied energy materials. 13) Water: Water economy measures must be undertaken where practicable. 14) Information and advice: The developer must commit to providing homeowners with appropriate information and advice on operating energy-saving features and appliances. The preferred scale of projects is between 5 and 15 units, though one-off houses are not precluded. Indicative funding is that up to 40% of eligible expenditure, up to a maximum of EUR 15 000 per unit will be provided. The level of support will be dependent on various factors, such as the level of innovation proposed, the performance improvement achieved (in terms of energy and CO2 reductions), and in certain cases the typical floor area of the dwellings in the development.","https://www.iea.org/policies/1360-low-carbon-homes-programme",2008,NA,NA,"IEA"
"3198",5138,5138,"Ireland","IRL",NA,"Microgeneration Support Programme","On 16 April 2008, a small- and micro-generation support programme was announced. It included studies aimed at identifying the potential and establishing the necessary infrastructure and field trials of small and micro-scale wind, solar and hydro generation in the domestic and commercial sectors, with the potential to sell excess power back to suppliers.Grant support to meet 50% of the initial start up costs will be made available for the installation of microgeneration systems in approximately 50 trials to be conducted nationwide. The scheme follows a change in regulations last year allowing people to sell electricity back to the grid. It will provide the groundwork for consideration of a set feed in tariff for electricity produced through microgeneration. It will provide the groundwork for consideration of commerical arrnagements for export of power and potential support schemes","https://www.iea.org/policies/4633-microgeneration-support-programme",2008,NA,NA,"IEA"
"3199",5142,5142,"Australia","AUS",NA,"National Low Emissions Coal Initiative","Australia<U+2019>s National Low Emission Coal Initiative (NLECI) aims to support the development and deployment of low emissions technologies and CO2 transport and storage infrastructure. Ongoing projects include the Australian National Low Emission Coal Research and Development initiative and bilateral cooperation on Clean Coal Technology via the Australia<U+2013>China Joint Coordination Group. Completed projects under the NLECI include: Hydrogen Energy Supply Chain (HESC) Front End Engineering Design (FEED) Project: The Australian and Victorian Governments jointly funded elements of a FEED project for a HESC Pilot Project to convert Victorian brown coal to hydrogen for export to Japan for use as a liquid fuel. The project is one of a number of options that Kawasaki Heavy Industries Ltd is examining worldwide to meet the Japanese government<U+2019>s energy diversification plans. Mineral Carbonation Project: The mineral carbonation process uses the natural process of capturing carbon dioxide in mineral deposits and then storing it in rocks. National Carbon Mapping and Infrastructure Plan: The National CO2 Infrastructure Plan was developed to speed up the identification and development of suitable long-term carbon dioxide storage sites within reasonable distances of major energy and industrial emission sources. Post Combustion Capture (PCC) of Carbon Dioxide Technology project: The project aimed to progress PCC technology under the flue gas conditions that are common in Chinese coal fired power stations. The project looked at PCC process designs which provide lower energy requirements for the capture process. Carbon Dioxide Infrastructure Assessment Project (CIAP): Provided the ability to identify potential onshore and offshore pipeline routes in and around Australia for transporting carbon dioxide to geosequestration storage sites. Callide oxyfuel combustion project: The Callide oxyfuel combustion project demonstrated how oxyfuel and carbon capture technology can be used in existing power stations to generate electricity from coal with low emissions.","https://www.iea.org/policies/4726-national-low-emissions-coal-initiative",2008,NA,NA,"IEA"
"3200",5143,5143,"New Zealand","NZL",NA,"National Policy Statement on Electricity Transmission","This National Policy Statement on Electricity Transmission sets out the objective and policies for managing the electricity transmission network under the Resource Management Act 1991.Decision-makers are required to have regard to the National Policy Statement on Electricity Transmission (NPS) when considering applications to develop electricity transmission infrastructure and when setting local planning provisions. The objective of the NPS is to recognise the national significance of the electricity transmission network by facilitating the operation, maintece and upgrade of the existing transmission network and the establishment of new transmission resources to meet the needs of present and future generations.The National Policy Statement is designed to be applied by decision-makers and intended to guide decision-makers in drafting plan rules, in making decisions on the notification of resource consents, and in the determination of resource consent applications, and in considering notices of requirement for designations for transmission activities. For decision-makers under the Act, the national policy statement is intended to be a relevant consideration to be weighed along with other considerations in achieving the sustainable management purpose of the Act.","https://www.iea.org/policies/4850-national-policy-statement-on-electricity-transmission",2008,NA,NA,"IEA"
"3201",5145,5145,"Italy","ITA",NA,"Net Metering","Since 1 Jan. 2009, AEEG (Decision ARG/elt 74/08, as subsequently amended and supplemented by Decision ARG/elt 186/09) has assigned to GSE the management of the<U+00A0>net metering<U+00A0>service (scambio sul posto). This service is activated at the request of interested parties.<U+00A0>Under the service, the electricity generated by a consumer/producer in an eligible on-site plant and injected into the grid can be used to offset the electricity withdrawn from the grid. GSE pays a contribution to the customer based on injections and withdrawals of electricity in a given calendar year and on their respective market values.Under AEEG<U+2019>s Decision ARG/elt 74/08, GSE has the role of managing net metering and paying the related contribution, which covers part of the charges incurred by the customer for withdrawing electricity from the grid. GSE determines the contribution taking into account: the characteristics of the plant, the contractual conditions between the customer and his/her supplier and<U+00A0> the data that grid operators and suppliers are required to periodically report to GSE. To know more about the calculation of the net metering contribution, refer to AEEG<U+2019>s Decision ARG/elt 74/08.<U+00A0>Eligible plants:Owners of one or more of the following plants may apply for the net metering support:RES-E plants with a capacity of up to 20 kW;RES-E plants with a capacity of up to 200 kW (commissioned after 31 Dec. 2007);high-efficiency CHP plants<U+00A0> with a capacity of up to 200 kW.","https://www.iea.org/policies/5554-net-metering",2008,NA,NA,"IEA"
"3202",5146,5146,"Sweden","SWE",NA,"Network for wind power (N<U+00E4>tverket f<U+00F6>r vindbruk)","The network for wind power was founded in 2008 by instructions from the Swedish Government. The network aims at fostering the expansion of wind power by means of information activities, educational activities, networking and economic support to wind power projects. The network was developed in light of the national objective of having a preparedness to expand wind power capacity by a corresponding annual electricity production of 30TWh, as decided by the Swedish Riksdag.The Swedish Energy Agency has the formal responsibility for the network, which, among other things, involves decision making about the disbursement of annual funds.In 2011-2012, 22 and 26 projects were granted funding, respectively. In 2011, a total of SEK 15,4 million was granted and in 2012 the total was SEK 17 million.","https://www.iea.org/policies/5564-network-for-wind-power-natverket-for-vindbruk",2008,NA,NA,"IEA"
"3203",5150,5150,"United States","USA",NA,"Offshore wind and ocean energy testing","In November 2007, the Minerals Management Service (MMS), renamed the Bureau of Ocean Energy Management, Regulation, and Enforcement (BOEMRE) as of 18 June 2010, proposed allowing short-term leases for offshore testing areas and requested detailed information from parties wishing to obtain such leases. In response, the agency received more than 40 nominations for research projects. In May 2008, the MMS designated five areas on the Outer Continental Shelf for testing new energy technologies related to wind power, wave energy, and ocean currents. The five areas are located off the coasts of California, Delaware, Florida, Georgia, and New Jersey. The agency is proposing limited, temporary leases in these areas for data collection and technology testing, and commercial energy production will not be allowed. Of the 40 nominations for research projects received in 2007, 16 could potentially go forward within the five priority areas. Ten of those proposed projects are related to wind energy and would be located in the areas offshore New Jersey, Delaware and Georgia. Four proposals offshore Florida would be related to ocean current energy, and two off Northern California would be related to wave energy. The remaining nominations are still being considered by BOEMRE, and decisions will be based on the proposed projects viability.","https://www.iea.org/policies/4649-offshore-wind-and-ocean-energy-testing",2008,NA,NA,"IEA"
"3204",5151,5151,"Australia","AUS",NA,"Queensland Solar Bonus Scheme","The Queensland Government Solar Bonus Scheme pays households and other small customers for surplus electricity generated from roof-top solar photovoltaic systems.The rate of the tariff is set at AUD0.44/kWh or AUD0.08/KWh for eligible customers that consume no more than 100MWh of electricity per year and have a solar photovoltaic system with a capacity of up to 10kVA for single phase power and 30kVA for three-phase power.The Solar Bonus Scheme is legislated to expire on 1 July 2028. Customers who applied for the Queensland Solar Bonus Scheme before 10 July 2012 and maintain their eligibility can continue to receive a feed-in tariff of 44 cents.Customers who live in regional Queensland (and who are not receiving the 44 cent feed-in tariff) can access the regional feed-in tariffs. Your property must be connected to the Ergon Energy distribution network or the Essential Energy network (in South West Queensland) to be eligible.The Queensland Competition Authority sets the regional feed-in tariff rate each year.For the 2016-17 year, the regional feed-in tariff is 7.448 cents per kilowatt hour.","https://www.iea.org/policies/3899-queensland-solar-bonus-scheme",2008,NA,NA,"IEA"
"3205",5152,5152,"United States","USA",NA,"Regional Greenhouse Gas Initiative (RGGI)","The Regional Greenhouse Gas Initiative (RGGI) - the first mandatory, market-based effort in the United States to reduce greenhouse gas emissions - was established in December 2005 by the governors of seven Northeastern and Mid-Atlantic states: Connecticut, Delaware, Maine, New Hampshire, New Jersey, New York, and Vermont. Massachusetts, Rhode Island, and Maryland joined RGGI in 2007, bringing the number of participating states to ten.<U+00A0>RGGI sets a cap on emissions of carbon dioxide (CO2) from fossil fuel-fired power plants with a capacity of 25 MW or higher, and allows sources to trade emissions allowances. The RGGI GHG emissions cap, state emissions caps and allowance distribution, and auction design were developed collaboratively between the RGGI states. RGGI is composed of individual CO2 Budget Trading Programs in each of the ten participating states. These ten programmes are implemented through state regulations, based on a RGGI Model Rule, and are linked through CO2 allowance reciprocity. Regulated power plants will be able to use a CO2 allowance issued by any of the ten participating states to demonstrate compliance with the state programme governing their facility. Taken together, the ten individual state programmes will function as a single regional compliance market for carbon emissions. <U+00A0>The programme will begin by capping emissions at current levels in 2009 and then reducing emissions 10% by 2018. <U+00A0>The compliance period begins on 1 January 2009, at which time allowances will become tradable as power plants adjust their GHG emissions levels. The program will include 233 fossil fuel-fired power stations and factories. Power generators must hold allowances covering their CO2 emissions; each allowance allows the emission of one short ton of carbon dioxide emissions. These allowances are to be auctioned, and the proceeds used by the states to support renewable energy, energy efficiency and other low carbon intensity power solutions. <U+00A0>Before the start of the compliance period, pre-compliance emissions allowance auctions are to be held for the 2009-11 period. The first auction took place on 25 September 2008, with 12 565 387 CO2 emissions allowances from Connecticut, Maine, Maryland, Massachusetts, Rhode Island, and Vermont offered for bid to parties. These included entities with compliance obligations, allowance brokers, investors, and environmental groups. 59 separate entities submitted bids. The clearing price was USD 3.07, and the auction generated over USD 38 million in proceeds. States will use these funds for energy efficiency programmes, to mitigate price impacts of the programme on consumers, to stimulate investment in the renewable energy sector, and to cover the administrative costs of the programme. <U+00A0>Auction number 33 took place on 7th of September 2017.","https://www.iea.org/policies/74-regional-greenhouse-gas-initiative-rggi",2008,NA,NA,"IEA"
"3206",5154,5154,"Italy","ITA",NA,"Renewable energy provisions for the Green Certificates System","The Finance Act 2008 included new measures relating to the production of electricity from RES, in two areas: a review of the green certificates system, applying to power plants = 1MW, and the introduction of feed-in tariffs for small renewable power plants. The revisions concerning green certificates are twofold. First, the incentive period is raised to 15 years. Second, the number of certificates issued varies depending on the type of renewable source, according to a coefficient multiplicative on energy produced. These coefficients, as amended by the Law No.99/2009 are as follows: - 1 for wind plants - 1.5 for offshore wind - 0.9 for geothermal - 1.8 for tidal and wave - 1 for hydroelectric - 1.3 for Biodegradable waste and biomass - 1.8 for Biomass and biogases obtained from agriculture, animal husbandry and forestry on a short supply-line basis - 0.8 for biogas. The Legilsative Decree No.28/2011, transposing the provisions of the European Directive No.28/2009 in Italy, announced that the Green Certificate Mechanism will be replaced by a Duch Auction System as of January 1st, 2015.","https://www.iea.org/policies/4674-renewable-energy-provisions-for-the-green-certificates-system",2008,NA,NA,"IEA"
"3207",5155,5155,"France","FRA",NA,"Retailer Sustainable Commerce Agreement","On 29 January 2008, the French Ministry of Ecology, Energy, Sustainable Development and Planning signed a five-year agreement with the Federation of Retail and Distribution Enterprises, representing 26 500 outlets nationwide. The agreement commits the retail sector to establish packaging waste and greenhouse gas emission reduction goals.Retailers agreed to undertake detailed analysis of the CO2 emissions of all their activities, to better assess emissions from merchandise transportation and in-store activities. They also pledged to improve energy efficiency in stores, by switching to low-energy lighting and upgrading refrigeration and freezer systems. They also committed to acquiring at least 20% of their overall energy use from renewable energy sources by 2020.","https://www.iea.org/policies/4707-retailer-sustainable-commerce-agreement",2008,NA,NA,"IEA"
"3208",5156,5156,"Japan","JPN",NA,"Revised Energy Conservation Act (2008)","The Act on the Rational Use of Energy (Energy Conservation Act) is the pillar of Japanese energy conservation policies. The Act was enacted in 1979 in the light of the oil shock. This comprehensive act covers all sectors as follows: Energy management in manufacturing, commercial and transportation sectors; energy efficiency standards for vehicles and appliances (Top Runner Program); energy efficiency standards for houses and buildings. In 2008 the act was revised to strengthen measures to enhance energy efficiency, including those for the commercial sector. Also in this revision, sectoral approaches used in domestic regulation was introduced, to be implemented as of April 2009. a) Regulatory Expansion in the Commercial Sector Before the revision, only large scale factories and workplaces were targeted to enforce the energy management. The revision expanded this site-specific requirement to a company-wide one; a company consuming above a certain amount of energy must implement energy efficiency measures for all of its factories and workplaces. This also expands coverage beyond manufacturing sites, to offices and franchise companies running convenience stores. A new regulation was also added, requiring that a board member be appointed to be in charge of energy management for the whole company. b) Sectoral Approaches as National Regulation (Sectoral Benchmarking) Sectoral approaches have for the first time been introduced as a domestic regulatory measure. Sectoral benchmarks are being established for certain sub-sectors, initially in energy intensive industries. Indicators are established for companies to benchmark their energy efficiency level against others within the same sub-sector, and medium- and long-term targets are set (to be achieved around 2015-2020). Currently, each factory and workplace is required to achieve annually on average 1 % reduction or more in energy intensity. The revision adds benchmarking indicators and associated targets to the above in certain sub-sectors: iron and steel, cement, and electricity suppliers. Targets are set at the energy efficiency level of the best performing companies (top 10%-20%) in each sub-sector based on the average value and standard deviation. Companies covered by the scheme must submit yearly reports on the status of the benchmarking indicator, in addition to the ratio of energy intensity reduction and on the implementation of an energy management system. Based on the companies reports, the government may take necessary measures when it sees substantial lack of efforts in reference to the targets. The measures include guidance, publication of the companys name, and order (with a fine imposed when the company does not adhere to the order). The indicators average value and standard deviation for each sub-sector will also be published by the government based on company reports. The names of companies performing well beyond the target will be also published.","https://www.iea.org/policies/899-revised-energy-conservation-act-2008",2008,NA,NA,"IEA"
"3209",5157,5157,"United States","USA",NA,"Rural Energy For America Program (REAP)","The REAP program provides assistance to agricultural producers and rural small businesses to complete a variety of projects. Offering both loan guarantees and grants, the REAP program helps eligible applicants install renewable energy systems such as solar panels or anaerobic digesters, make energy efficiency improvements such as installing irrigation pumps or replacing ventilation systems, and conduct energy audits and feasibility studies.  The REAP program is comprised of three components:  The Renewable Energy System and Energy Efficiency Improvement Guaranteed Loan and Grant Program,  The Energy Audit and Renewable Energy Development Assistance Grant Program, and  The Feasibility Studies Grant Program.","https://www.iea.org/policies/1333-rural-energy-for-america-program-reap",2008,NA,NA,"IEA"
"3210",5158,5158,"Netherlands","NLD",NA,"SDE (stimulering duurzame energie): Renewable energy and CHP production aid scheme","Following the MEP renewable energy and CHP subsidy schemes, which ended in August 2006, the Dutch government decided on a new target for the reduction of CO2 emissions; 30% CO2 reduction in 2020. In order to meet this target, the reform and continuation of the MEP schemes was decided. The two previous schemes were combined into a new scheme called SDE (stimulering duurzame energie). In August 2007 the Dutch government submitted the scheme for approval under EC Treaty state aid rules. In December the European Commission auhorised the aid scheme, to stimulate production of renewable energy and Combined Heat and Power. The extra available budget for the SDE is estimated at EUR 2,144 million. Unlike the MEP, the SDE is fully financed by direct government support. The regulation was published on 3 March 2008, and subsidy requests can be submitted as of 1 April 2008 from SenterNovem, the Ministry of Economic Affairs agency. Differences from the MEP are that projects are selected through tendering, and that the subsidy amounts will be corrected and vary depending on fossil fuel energy prices. Also, hydro projects are not eligible, though the scheme applies also to biogas. The scheme can be called a ""modified feed-in tariff""; a fixed subsidy is guaranteed, as in a feed-in tariff, with an option for a higher price per kWh if the electricity price goes above the subsidy ceiling. Thus, renewable energy producers are provided a fixed price per kWh. The scheme acts as a premium if the electricity price goes below the feed-in tariff. However, if the market electricity price is at or above the feed-in tariff price, no subsidy is received from the government. For example, the estimated subsidy amount in 2008 for sewage-gas and waste water electricity, as well as high efficiency waste generation is zero, since the wholesale market price is expected to be higher than the estimated cost of production from these technologies. Offshore wind is not eligible for subsidies in 2008 and 2009; the first tender will be in 2010. In addition, annual expenditures are capped by technology. Estimated yearly caps are calculated based on capacity installed and estimated installations from 2008 to 2011. These are: EUR 1 million for biogas from sewage and waste water; EUR 19 million for small-scale PV (0.6 kWp-3.5 kWp); EUR 68 million for biomass CHP, co-digestion of food industry waste and manure; EUR 119 million for off-shore wind; EUR 129 million for on-shore wind. A table of the subsidy amounts according to energy type is available, in Dutch, at: www.ez.nl/dsresource?objectid=155959&type=PDF","https://www.iea.org/policies/4642-sde-stimulering-duurzame-energie-renewable-energy-and-chp-production-aid-scheme",2008,NA,NA,"IEA"
"3211",5159,5159,"United States","USA",NA,"Section 45Q Credit for Carbon Oxide Sequestration","First introduced in 2008, Section 45Q of the Unites States Internal Revenue Code provides a tax credit for CO2 storage. The policy is intended to incentivize deployment of carbon capture, utilisation and storage (CCUS), and a variety of project types are eligible.<U+00A0>In 2022, the US introduced a significant stimulus for CCUS investment with the passage of legislation (the Inflation Reduction Act) to expand and extend the 45Q tax credit.The 2022 changes to 45Q provide up to USD 85 per tonne of CO2 permanently stored and USD 60 per tonne of CO2 used for enhanced oil recovery (EOR) or other industrial uses of CO2, provided emissions reductions can be clearly demonstrated. The credit amount significantly increases for direct air capture (DAC) projects to USD 180 per tonne of CO2 permanently stored and USD 130 per tonne for used CO2.<U+00A0>In addition, the 2022 changes reduce the capacity requirements for eligible projects: 18,750 tonnes per year for power plants (provided at least 75% of the CO2 is captured), 12,000 tonnes per year for other facilities, and 1,000 tonnes per year for DAC facilities.<U+00A0>Finally, the 2022 changes include a seven-year extension to qualify for the tax credit, meaning that projects have until January 2033 to begin construction.","https://www.iea.org/policies/4986-section-45q-credit-for-carbon-oxide-sequestration",2008,NA,NA,"IEA"
